AKJV
American King James Version
Genesis 1:1	In the beginning God created the heaven and the earth.
2 Kings 2:23	And he went up from there to Bethel: and as he was going up by the way, there came forth little children out of the city, and mocked him, and said to him, Go up, you bald head; go up, you bald head.
2 Kings 2:24	And he turned back, and looked on them, and cursed them in the name of the LORD. And there came forth two she bears out of the wood, and tare forty and two children of them.
2 Kings 2:25	And he went from there to mount Carmel, and from there he returned to Samaria.
2 Kings 3:1	Now Jehoram the son of Ahab began to reign over Israel in Samaria the eighteenth year of Jehoshaphat king of Judah, and reigned twelve years.
2 Kings 3:2	And he worked evil in the sight of the LORD; but not like his father, and like his mother: for he put away the image of Baal that his father had made.
2 Kings 3:3	Nevertheless he joined to the sins of Jeroboam the son of Nebat, which made Israel to sin; he departed not therefrom.
2 Kings 3:4	And Mesha king of Moab was a sheep master, and rendered to the king of Israel an hundred thousand lambs, and an hundred thousand rams, with the wool.
2 Kings 3:5	But it came to pass, when Ahab was dead, that the king of Moab rebelled against the king of Israel.
2 Kings 3:6	And king Jehoram went out of Samaria the same time, and numbered all Israel.
2 Kings 3:7	And he went and sent to Jehoshaphat the king of Judah, saying, The king of Moab has rebelled against me: will you go with me against Moab to battle? And he said, I will go up: I am as you are, my people as your people, and my horses as your horses.
2 Kings 3:8	And he said, Which way shall we go up? And he answered, The way through the wilderness of Edom.
2 Kings 3:9	So the king of Israel went, and the king of Judah, and the king of Edom: and they fetched a compass of seven days’ journey: and there was no water for the host, and for the cattle that followed them.
2 Kings 3:10	And the king of Israel said, Alas! that the LORD has called these three kings together, to deliver them into the hand of Moab!
2 Kings 3:11	But Jehoshaphat said, Is there not here a prophet of the LORD, that we may inquire of the LORD by him? And one of the king of Israel’s servants answered and said, Here is Elisha the son of Shaphat, which poured water on the hands of Elijah.
2 Kings 3:12	And Jehoshaphat said, The word of the LORD is with him. So the king of Israel and Jehoshaphat and the king of Edom went down to him.
2 Kings 3:13	And Elisha said to the king of Israel, What have I to do with you? get you to the prophets of your father, and to the prophets of your mother. And the king of Israel said to him, No: for the LORD has called these three kings together, to deliver them into the hand of Moab.
2 Kings 3:14	And Elisha said, As the LORD of hosts lives, before whom I stand, surely, were it not that I regard the presence of Jehoshaphat the king of Judah, I would not look toward you, nor see you.
2 Kings 3:15	But now bring me a minstrel. And it came to pass, when the minstrel played, that the hand of the LORD came on him.
2 Kings 3:16	And he said, Thus said the LORD, Make this valley full of ditches.
2 Kings 3:17	For thus said the LORD, You shall not see wind, neither shall you see rain; yet that valley shall be filled with water, that you may drink, both you, and your cattle, and your beasts.
2 Kings 3:18	And this is but a light thing in the sight of the LORD: he will deliver the Moabites also into your hand.
2 Kings 3:19	And you shall smite every fenced city, and every choice city, and shall fell every good tree, and stop all wells of water, and mar every good piece of land with stones.
2 Kings 3:20	And it came to pass in the morning, when the meat offering was offered, that, behold, there came water by the way of Edom, and the country was filled with water.
2 Kings 3:21	And when all the Moabites heard that the kings were come up to fight against them, they gathered all that were able to put on armor, and upward, and stood in the border.
2 Kings 3:22	And they rose up early in the morning, and the sun shone on the water, and the Moabites saw the water on the other side as red as blood:
2 Kings 3:23	And they said, This is blood: the kings are surely slain, and they have smitten one another: now therefore, Moab, to the spoil.
2 Kings 3:24	And when they came to the camp of Israel, the Israelites rose up and smote the Moabites, so that they fled before them: but they went forward smiting the Moabites, even in their country.
2 Kings 3:25	And they beat down the cities, and on every good piece of land cast every man his stone, and filled it; and they stopped all the wells of water, and felled all the good trees: only in Kirharaseth left they the stones thereof; however, the slingers went about it, and smote it.
2 Kings 3:26	And when the king of Moab saw that the battle was too sore for him, he took with him seven hundred men that drew swords, to break through even to the king of Edom: but they could not.
2 Kings 3:27	Then he took his oldest son that should have reigned in his stead, and offered him for a burnt offering on the wall. And there was great indignation against Israel: and they departed from him, and returned to their own land.
2 Kings 4:1	Now there cried a certain woman of the wives of the sons of the prophets to Elisha, saying, Your servant my husband is dead; and you know that your servant did fear the LORD: and the creditor is come to take to him my two sons to be slaves.
2 Kings 4:2	And Elisha said to her, What shall I do for you? tell me, what have you in the house? And she said, Your handmaid has not any thing in the house, save a pot of oil.
2 Kings 4:3	Then he said, Go, borrow you vessels abroad of all your neighbors, even empty vessels; borrow not a few.
2 Kings 4:4	And when you are come in, you shall shut the door on you and on your sons, and shall pour out into all those vessels, and you shall set aside that which is full.
2 Kings 4:5	So she went from him, and shut the door on her and on her sons, who brought the vessels to her; and she poured out.
2 Kings 4:6	And it came to pass, when the vessels were full, that she said to her son, Bring me yet a vessel. And he said to her, There is not a vessel more. And the oil stayed.
2 Kings 4:7	Then she came and told the man of God. And he said, Go, sell the oil, and pay your debt, and live you and your children of the rest.
2 Kings 4:8	And it fell on a day, that Elisha passed to Shunem, where was a great woman; and she constrained him to eat bread. And so it was, that as oft as he passed by, he turned in thither to eat bread.
2 Kings 4:9	And she said to her husband, Behold now, I perceive that this is an holy man of God, which passes by us continually.
2 Kings 4:10	Let us make a little chamber, I pray you, on the wall; and let us set for him there a bed, and a table, and a stool, and a candlestick: and it shall be, when he comes to us, that he shall turn in thither.
2 Kings 4:11	And it fell on a day, that he came thither, and he turned into the chamber, and lay there.
2 Kings 4:12	And he said to Gehazi his servant, Call this Shunammite. And when he had called her, she stood before him.
2 Kings 4:13	And he said to him, Say now to her, Behold, you have been careful for us with all this care; what is to be done for you? would you be spoken for to the king, or to the captain of the host? And she answered, I dwell among my own people.
2 Kings 4:14	And he said, What then is to be done for her? And Gehazi answered, Truly she has no child, and her husband is old.
